127.0.0.1 - - [19/Mar/2019:20:47:54 +0800] "GET / HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [19/Mar/2019:20:47:55 +0800] "GET /Web/t1.html HTTP/1.1" 200 190
0:0:0:0:0:0:0:1 - - [19/Mar/2019:20:47:55 +0800] "GET /Web/text.css HTTP/1.1" 200 384
0:0:0:0:0:0:0:1 - - [19/Mar/2019:20:48:04 +0800] "GET /Web/t1.html HTTP/1.1" 200 190
0:0:0:0:0:0:0:1 - - [19/Mar/2019:20:48:04 +0800] "GET /Web/text.css HTTP/1.1" 200 384
0:0:0:0:0:0:0:1 - - [19/Mar/2019:20:48:19 +0800] "GET /Web/t1.html HTTP/1.1" 200 194
0:0:0:0:0:0:0:1 - - [19/Mar/2019:20:49:15 +0800] "GET /Web/t1.html HTTP/1.1" 200 201
0:0:0:0:0:0:0:1 - - [19/Mar/2019:20:49:35 +0800] "GET /Web/t1.html HTTP/1.1" 200 216
0:0:0:0:0:0:0:1 - - [19/Mar/2019:20:50:37 +0800] "GET /Web/t1.html HTTP/1.1" 200 190
